time,co2,power1,power2,power3,power4,power5,power6,OCCUPANCY,corridor,Temperature,OUTDOOR_TEMPERATURE,Door_contact,window,labels
0,410.0,13.0,0.0,0.0,116.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
600,400.0,13.0,0.0,0.0,116.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
1200,410.0,13.0,0.0,0.0,116.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
1800,410.0,13.0,0.0,0.0,116.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
2400,410.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
3000,410.0,13.0,0.0,0.0,116.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
3600,410.0,13.0,0.0,0.0,116.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
4200,410.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
4800,410.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
5400,410.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
6000,410.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
6600,410.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
7200,410.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
7800,420.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
8400,420.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
9000,420.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
9600,420.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,430.0,22.4,17.88,0.0,0.0,0.0
10200,420.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,440.0,22.4,17.88,0.0,0.0,0.0
10800,420.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,440.0,22.4,17.88,0.0,0.0,0.0
11400,420.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,440.0,22.2,17.88,0.0,0.0,0.0
12000,420.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,440.0,22.4,17.88,0.0,0.0,0.0
12600,420.0,13.0,0.0,0.0,116.0,0.0,0.0,0.0,450.0,22.2,17.88,0.0,0.0,0.0
13200,420.0,13.0,0.0,0.0,116.0,0.0,0.0,0.0,450.0,22.4,17.88,0.0,0.0,0.0
13800,420.0,13.0,0.0,0.0,114.0,0.0,0.0,0.0,450.0,22.4,17.88,0.0,0.0,0.0
14400,420.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,450.0,22.4,17.88,0.0,0.0,0.0
15000,420.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,450.0,22.4,17.88,0.0,0.0,0.0
15600,420.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,450.0,22.2,17.88,0.0,0.0,0.0
16200,420.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,450.0,22.4,17.88,0.0,0.0,0.0
16800,420.0,13.0,0.0,0.0,116.0,0.0,0.0,0.0,450.0,22.2,17.88,0.0,0.0,0.0
17400,420.0,13.0,0.0,0.0,116.0,0.0,0.0,0.0,450.0,22.4,17.88,0.0,0.0,0.0
18000,420.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,450.0,22.2,17.88,0.0,0.0,0.0
18600,420.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,450.0,22.4,17.88,0.0,0.0,0.0
19200,420.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,450.0,22.2,17.88,0.0,0.0,0.0
19800,420.0,13.0,0.0,0.0,115.0,0.0,0.0,1.0,460.0,22.2,17.88,0.0,0.0,0.0
20400,430.0,13.0,0.0,0.0,114.0,0.0,0.0,0.0,460.0,22.2,17.88,0.0,0.0,0.0
21000,430.0,13.0,0.0,0.0,114.0,0.0,0.0,0.0,470.0,22.2,17.88,0.0,0.0,0.0
21600,430.0,13.0,0.0,0.0,114.0,0.0,0.0,0.0,510.0,22.4,17.88,1.0,0.0,0.0
22200,430.0,13.0,0.0,0.0,114.0,0.0,0.0,1.0,500.0,22.4,17.88,1.0,0.0,0.0
22800,430.0,13.0,0.0,0.0,214.0,0.0,0.0,1.0,490.0,22.4,17.88,1.0,0.0,0.0
23400,470.0,13.0,0.0,0.0,207.0,0.0,0.0,1.0,490.0,22.4,16.94,1.0,0.0,0.0
24000,480.0,13.0,0.0,0.0,224.0,23.0,23.0,1.0,500.0,22.6,16.94,1.0,0.0,0.0
24600,540.0,13.0,0.0,0.0,235.0,22.0,22.0,1.0,510.0,22.6,16.94,0.0,0.0,0.0
25200,650.0,13.0,0.0,0.0,253.0,18.0,18.0,0.0,600.0,22.6,16.94,0.0,0.0,0.0
25800,660.0,13.0,0.0,0.0,250.0,19.0,19.0,1.0,660.0,22.6,16.94,0.0,0.0,0.0
26400,680.0,13.0,0.0,0.0,224.0,18.0,18.0,0.0,640.0,22.8,16.94,0.0,0.0,0.0
27000,700.0,13.0,0.0,0.0,224.0,21.0,21.0,1.0,620.0,22.8,16.94,0.0,0.0,0.0
27600,710.0,13.0,0.0,0.0,224.0,23.0,23.0,1.0,690.0,23.0,16.94,0.0,0.0,0.0
28200,710.0,13.0,0.0,0.0,217.0,24.0,24.0,0.0,700.0,23.0,16.94,0.0,0.0,0.0
28800,900.0,13.0,0.0,0.0,221.0,29.0,29.0,0.0,770.0,23.0,17.88,0.0,0.0,0.0
29400,910.0,13.0,0.0,0.0,207.0,26.0,26.0,0.0,830.0,23.0,17.88,0.0,0.0,0.0
30000,940.0,13.0,0.0,0.0,203.0,20.0,20.0,0.0,810.0,23.2,17.88,0.0,0.0,0.0
30600,880.0,13.0,0.0,0.0,198.0,21.0,21.0,0.0,850.0,23.2,17.88,0.0,0.0,0.0
31200,880.0,13.0,0.0,0.0,213.0,21.0,21.0,0.0,830.0,23.2,17.88,1.0,0.0,0.0
31800,890.0,13.0,0.0,0.0,198.0,19.0,19.0,0.0,900.0,23.2,17.88,0.0,0.0,0.0
32400,780.0,13.0,0.0,0.0,208.0,21.0,21.0,0.0,920.0,23.2,17.88,0.0,0.0,0.0
33000,860.0,13.0,0.0,0.0,207.0,21.0,21.0,1.0,980.0,23.2,18.82,0.0,0.0,0.0
33600,900.0,13.0,0.0,0.0,200.0,23.0,23.0,0.0,1020.0,23.2,18.82,0.0,0.0,0.0
34200,910.0,13.0,0.0,0.0,198.0,19.0,19.0,0.0,1100.0,23.2,18.82,0.0,0.0,0.0
34800,920.0,13.0,0.0,0.0,210.0,17.0,17.0,0.0,1100.0,23.4,18.82,1.0,0.0,2.0
35400,990.0,13.0,0.0,0.0,213.0,30.0,30.0,1.0,1140.0,23.4,18.82,0.0,0.0,2.0
36000,1010.0,13.0,0.0,0.0,217.0,30.0,30.0,0.0,1130.0,23.4,18.82,0.0,0.0,2.0
36600,1040.0,13.0,0.0,0.0,212.0,29.0,29.0,1.0,1050.0,23.4,19.76,0.0,0.0,1.0
