time,co2,power1,power3,power4,power2,Temperature_CO2,Humidity_CO2,Contact_porte,Temperature_1,Humidity_1,COV,Temperature_12,Humidity_12,labels
0,390.0,22.0,11.0,0.0,0.0,17.2,30.0,0.0,18.08,34.4,24.0,17.28,38.0,0
600,390.0,22.0,11.0,0.0,0.0,17.2,30.0,0.0,18.08,34.4,25.0,17.28,38.0,0
1200,390.0,22.0,11.0,0.0,0.0,17.4,30.0,0.0,18.24,34.0,25.0,17.12,38.0,0
1800,390.0,22.0,11.0,0.0,0.0,17.4,30.0,0.0,18.24,34.0,25.0,17.12,38.0,0
2400,390.0,22.0,11.0,0.0,0.0,17.6,30.0,0.0,18.4,34.0,25.0,17.12,38.0,0
3000,390.0,22.0,11.0,0.0,0.0,17.6,30.0,0.0,18.4,34.0,25.0,17.12,38.0,0
3600,390.0,22.0,11.0,0.0,0.0,17.6,30.0,0.0,18.4,34.0,25.0,17.28,38.4,0
4200,390.0,22.0,11.0,0.0,0.0,17.6,30.0,0.0,18.56,33.6,25.0,17.12,38.8,0
4800,390.0,22.0,11.0,0.0,0.0,17.6,30.0,0.0,18.56,33.6,25.0,17.12,38.8,0
5400,390.0,22.0,11.0,0.0,0.0,17.8,30.0,0.0,18.72,33.6,25.0,17.12,38.8,0
6000,390.0,22.0,11.0,0.0,0.0,17.8,30.0,0.0,18.72,33.6,26.0,17.12,38.8,0
6600,390.0,22.0,11.0,0.0,0.0,17.8,30.0,0.0,18.72,33.2,26.0,17.12,38.8,0
7200,390.0,22.0,11.0,0.0,0.0,17.8,30.0,0.0,18.72,33.2,26.0,17.28,38.8,0
7800,390.0,22.0,11.0,0.0,0.0,17.8,30.0,1.0,18.88,34.4,26.0,17.28,38.8,0
8400,410.0,22.0,11.0,0.0,0.0,17.8,33.0,0.0,18.88,34.4,33.0,17.6,40.8,0
9000,410.0,22.0,11.0,0.0,0.0,18.0,31.0,0.0,19.04,34.8,31.0,17.6,40.8,0
9600,410.0,22.0,11.0,0.0,0.0,18.0,31.0,0.0,19.2,34.4,31.0,17.6,40.8,0
10200,410.0,22.0,11.0,0.0,0.0,18.0,31.0,0.0,19.2,34.4,31.0,17.44,40.0,0
10800,410.0,22.0,11.0,0.0,0.0,18.0,31.0,1.0,19.2,34.4,31.0,17.44,40.0,0
11400,450.0,22.0,11.0,0.0,0.0,18.0,31.0,0.0,19.52,35.6,31.0,17.6,40.0,1
12000,510.0,22.0,11.0,0.0,0.0,18.2,32.0,1.0,19.68,35.6,33.0,17.76,42.0,1
12600,520.0,22.0,11.0,0.0,0.0,18.0,31.0,1.0,19.68,36.0,30.0,17.76,42.0,1
13200,580.0,22.0,11.0,0.0,0.0,18.2,33.0,1.0,19.68,36.0,33.0,17.6,40.8,1
13800,630.0,22.0,11.0,0.0,0.0,18.4,33.0,1.0,19.68,36.0,35.0,17.6,40.8,1
14400,680.0,22.0,11.0,0.0,0.0,18.4,33.0,0.0,19.84,36.4,35.0,17.6,40.8,1
15000,730.0,22.0,11.0,0.0,0.0,18.6,33.0,1.0,19.84,36.4,36.0,17.76,42.8,1
15600,690.0,22.0,11.0,0.0,0.0,18.4,32.0,1.0,20.0,35.6,30.0,17.76,42.8,1
16200,740.0,22.0,11.0,0.0,0.0,18.4,33.0,0.0,20.16,35.6,32.0,17.6,41.2,1
16800,780.0,22.0,11.0,100.0,0.0,18.6,33.0,0.0,20.32,36.0,32.0,17.6,41.2,1
17400,840.0,22.0,11.0,100.0,0.0,18.8,33.0,0.0,20.32,36.0,33.0,17.92,41.2,1
18000,860.0,22.0,11.0,100.0,0.0,18.8,33.0,0.0,20.32,36.4,33.0,17.92,41.2,1
18600,910.0,22.0,11.0,100.0,0.0,18.8,33.0,0.0,20.48,37.2,34.0,17.92,41.2,1
19200,940.0,22.0,11.0,100.0,64.0,19.0,33.0,0.0,20.48,37.2,34.0,18.08,42.4,1
19800,1080.0,27.0,127.0,90.0,68.0,19.0,34.0,0.0,20.64,38.4,35.0,18.08,42.4,2
20400,1260.0,92.0,134.0,72.0,66.0,19.2,35.0,1.0,20.64,38.8,38.0,18.56,40.8,3
21000,1410.0,90.0,126.0,59.0,66.0,19.4,35.0,1.0,20.64,38.8,41.0,18.56,40.8,2
21600,1520.0,88.0,128.0,58.0,50.0,19.6,36.0,0.0,20.64,40.0,42.0,18.72,43.6,2
22200,1610.0,79.0,109.0,51.0,59.0,19.6,36.0,0.0,20.64,40.0,43.0,18.72,41.6,2
22800,1660.0,73.0,39.0,47.0,60.0,19.8,36.0,0.0,20.8,40.8,45.0,18.88,41.6,2
23400,1770.0,33.0,65.0,35.0,54.0,19.6,36.0,0.0,20.8,40.8,46.0,18.88,44.8,2
24000,1690.0,90.0,61.0,35.0,46.0,19.6,36.0,0.0,20.96,40.8,44.0,18.88,44.8,2
24600,1760.0,82.0,40.0,29.0,44.0,19.8,37.0,0.0,20.96,40.8,44.0,18.88,42.4,3
25200,1870.0,94.0,111.0,0.0,40.0,20.0,37.0,0.0,20.96,41.6,45.0,19.04,44.8,3
25800,2040.0,76.0,105.0,0.0,40.0,19.8,36.0,0.0,21.12,42.0,46.0,19.04,42.4,2
26400,2200.0,87.0,102.0,0.0,43.0,19.8,37.0,0.0,21.12,42.0,47.0,19.04,42.4,2
27000,2260.0,89.0,106.0,0.0,43.0,20.0,37.0,0.0,21.12,42.4,48.0,19.2,41.2,2
27600,2380.0,84.0,110.0,0.0,36.0,20.0,37.0,0.0,21.12,42.4,49.0,19.2,41.2,2
28200,2460.0,74.0,97.0,0.0,36.0,20.2,37.0,0.0,20.96,43.6,49.0,19.36,40.8,2
28800,2550.0,87.0,92.0,0.0,35.0,20.0,37.0,0.0,20.96,43.6,50.0,19.36,40.8,3
29400,2550.0,37.0,104.0,0.0,39.0,20.2,37.0,0.0,20.96,43.6,50.0,19.52,40.8,3
30000,2550.0,40.0,21.0,0.0,17.0,20.2,38.0,0.0,20.8,43.6,51.0,19.52,40.8,3
30600,2550.0,35.0,20.0,19.0,16.0,20.2,37.0,0.0,20.8,43.6,52.0,19.52,40.4,1
31200,2550.0,34.0,20.0,57.0,16.0,20.2,37.0,0.0,20.64,43.6,53.0,19.52,40.4,1
31800,2550.0,24.0,21.0,60.0,17.0,20.0,37.0,0.0,20.48,43.2,52.0,19.52,40.4,1
32400,2550.0,24.0,20.0,53.0,16.0,20.0,37.0,0.0,20.48,43.2,52.0,19.52,40.4,1
33000,2550.0,24.0,20.0,36.0,16.0,20.0,37.0,1.0,20.48,43.2,51.0,19.52,40.4,1
33600,2550.0,81.0,22.0,37.0,16.0,20.0,36.0,0.0,20.48,43.2,50.0,19.52,40.4,1
34200,2540.0,75.0,23.0,31.0,17.0,19.8,36.0,0.0,20.48,43.2,51.0,19.52,40.4,1
34800,2520.0,83.0,20.0,32.0,16.0,19.8,36.0,0.0,20.48,43.6,55.0,19.52,40.4,1
35400,2540.0,102.0,20.0,32.0,30.0,19.8,37.0,0.0,20.32,43.6,59.0,19.68,39.2,1
36000,2550.0,90.0,20.0,31.0,31.0,20.0,37.0,0.0,20.48,44.0,63.0,19.68,39.2,2
36600,2550.0,76.0,31.0,40.0,26.0,20.0,37.0,0.0,20.48,44.0,63.0,19.68,40.4,2
37200,2550.0,76.0,33.0,22.0,17.0,20.0,37.0,0.0,20.32,44.8,72.0,19.68,44.8,3
37800,2550.0,75.0,36.0,28.0,17.0,20.2,37.0,0.0,20.48,45.2,87.0,19.68,42.0,2
38400,2550.0,75.0,25.0,25.0,17.0,20.2,37.0,0.0,20.48,45.2,93.0,19.68,42.0,2
39000,2550.0,77.0,24.0,25.0,16.0,20.0,38.0,0.0,20.32,45.2,96.0,19.68,42.0,1
39600,2550.0,82.0,34.0,30.0,16.0,20.0,38.0,0.0,20.32,45.2,88.0,19.68,42.0,1
40200,2550.0,79.0,35.0,25.0,16.0,20.2,37.0,0.0,20.16,45.2,88.0,19.84,42.8,2
40800,2550.0,76.0,26.0,37.0,16.0,20.2,37.0,0.0,20.16,45.2,92.0,19.84,42.8,2
41400,2550.0,73.0,28.0,35.0,16.0,20.2,37.0,0.0,20.0,44.8,93.0,19.68,43.2,2
42000,2550.0,73.0,11.0,19.0,16.0,20.2,38.0,0.0,20.0,44.8,95.0,19.68,43.2,2
42600,2550.0,74.0,11.0,15.0,17.0,20.0,37.0,0.0,20.0,44.0,91.0,19.68,44.0,1
43200,2550.0,71.0,11.0,24.0,16.0,20.0,37.0,0.0,20.0,43.6,86.0,19.68,44.0,1
43800,2550.0,75.0,11.0,30.0,16.0,20.0,37.0,0.0,20.0,43.6,82.0,19.68,47.2,1
44400,2520.0,73.0,11.0,25.0,16.0,20.0,36.0,0.0,20.0,43.6,79.0,19.68,45.2,1
45000,2480.0,34.0,11.0,22.0,16.0,20.0,36.0,0.0,20.0,43.2,76.0,19.68,43.6,1
45600,2420.0,74.0,11.0,34.0,16.0,19.8,36.0,0.0,20.0,43.2,74.0,19.68,43.6,1
46200,2420.0,74.0,11.0,22.0,49.0,19.8,36.0,0.0,19.84,43.6,72.0,19.68,44.0,1
46800,2420.0,84.0,11.0,20.0,25.0,20.0,36.0,0.0,19.84,43.6,70.0,19.68,44.0,1
47400,2550.0,73.0,11.0,29.0,25.0,20.0,37.0,0.0,20.0,44.4,71.0,19.52,45.2,3
48000,2550.0,73.0,11.0,28.0,29.0,20.0,36.0,0.0,20.16,44.4,69.0,19.52,46.0,2
48600,2550.0,72.0,11.0,0.0,54.0,20.0,37.0,0.0,20.0,44.4,68.0,19.52,46.0,2
49200,2550.0,74.0,11.0,0.0,28.0,19.8,37.0,0.0,20.0,44.4,68.0,19.52,47.6,1
49800,2550.0,79.0,11.0,0.0,28.0,20.0,37.0,0.0,20.0,44.8,67.0,19.52,45.6,2
50400,2550.0,78.0,11.0,0.0,25.0,20.0,37.0,0.0,19.84,45.2,68.0,19.52,44.8,1
51000,2550.0,74.0,11.0,0.0,26.0,20.0,37.0,0.0,19.84,45.2,66.0,19.52,45.2,0
51600,2550.0,73.0,11.0,0.0,51.0,19.8,37.0,0.0,19.84,44.4,63.0,19.52,45.2,0
52200,2550.0,22.0,11.0,0.0,56.0,19.8,37.0,0.0,19.84,44.4,62.0,19.36,43.6,0
52800,2550.0,22.0,11.0,0.0,49.0,19.8,37.0,0.0,19.68,44.4,61.0,19.36,43.6,0
53400,2550.0,22.0,11.0,0.0,53.0,19.8,37.0,0.0,19.68,44.4,60.0,19.36,42.8,0
54000,2550.0,22.0,11.0,0.0,52.0,19.8,37.0,0.0,19.52,44.8,60.0,19.36,42.8,0
54600,2550.0,22.0,11.0,0.0,48.0,19.6,37.0,0.0,19.52,44.8,59.0,19.36,42.0,0
