time,co2,motion,rms,Door_contact,window,power1,power2,power3,power5,power6,labels,sum_power,derivative_co2
0,406.15384615384613,0.0,0.0135,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,-3.846153846153868
600,410.0,0.0,0.0135,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,2.5
1200,410.0,0.0,0.0135,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
1800,410.0,0.0,0.0135,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
2400,407.5,0.0,0.0134,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,-2.5
3000,410.0,0.0,0.0134,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
3600,410.0,0.0,0.0134,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
4200,410.0,0.0,0.0133,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
4800,410.0,0.0,0.0133,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
5400,410.0,0.0,0.0133,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,-4.285714285714278
6000,410.0,0.0,0.0132,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,-3.3333333333333144
6600,410.0,0.0,0.0132,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,-6.153846153846132
7200,414.2857142857143,0.0,0.0132,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,-5.714285714285722
7800,413.3333333333333,0.0,0.0131,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,-6.666666666666686
8400,416.15384615384613,0.0,0.0131,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,-3.846153846153868
9000,420.0,0.0,0.0131,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
9600,420.0,0.0,0.013,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
10200,420.0,0.0,0.013,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
10800,420.0,0.0,0.013,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
11400,420.0,0.0,0.0129,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
12000,420.0,0.0,0.0129,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
12600,420.0,0.0,0.0129,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
13200,420.0,0.0,0.0128,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
13800,420.0,0.0,0.0128,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
14400,420.0,0.0,0.0128,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
15000,420.0,0.0,0.0127,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
15600,420.0,0.0,0.0127,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
16200,420.0,0.0,0.0127,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
16800,420.0,0.0,0.0131,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
17400,420.0,0.0,0.0131,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
18000,420.0,0.0,0.0131,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,-4.444444444444457
18600,420.0,0.0,0.0131,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,-12.30769230769232
19200,420.0,2.0,0.0131,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
19800,424.44444444444446,0.0,0.0131,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,-5.555555555555543
20400,432.3076923076923,0.0,0.0131,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,2.307692307692321
21600,430.0,3.0,0.0131,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,-50.45454545454544
22200,430.0,2.0,0.0134,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,-71.73913043478262
22800,455.2631578947368,0.0,0.0134,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,-140.29239766081872
23400,480.45454545454544,0.0,0.0134,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0,13.0,-184.36026936026934
24000,501.7391304347826,1.0,0.0133,1.0,0.0,13.0,0.0,0.0,23.0,23.0,0,59.0,-164.41471571906357
24600,595.5555555555555,3.0,0.0133,0.0,0.0,13.0,0.0,0.0,22.0,22.0,0,57.0,-87.6444444444445
25200,664.8148148148148,1.0,0.0133,0.0,0.0,13.0,0.0,0.0,18.0,18.0,0,49.0,-58.51851851851859
25800,666.1538461538462,1.0,0.0135,0.0,0.0,13.0,0.0,0.0,19.0,19.0,0,51.0,-79.56043956043948
26400,683.2,4.0,0.0135,0.0,0.0,13.0,0.0,0.0,18.0,18.0,0,49.0,-165.64615384615377
27000,723.3333333333334,0.0,0.0135,0.0,0.0,13.0,0.0,0.0,21.0,21.0,0,55.0,-188.66666666666663
27600,745.7142857142857,2.0,0.0137,0.0,0.0,13.0,0.0,0.0,23.0,23.0,0,59.0,-137.0857142857143
28200,848.8461538461538,3.0,0.0137,0.0,0.0,13.0,0.0,0.0,24.0,24.0,0,61.0,-84.48717948717956
28800,912.0,2.0,0.0137,0.0,0.0,13.0,0.0,0.0,29.0,29.0,0,71.0,122.0
29400,882.8,0.0,0.0227,0.0,0.0,13.0,0.0,0.0,26.0,26.0,0,65.0,68.18461538461531
30000,933.3333333333334,0.0,0.0227,0.0,0.0,13.0,0.0,0.0,20.0,20.0,0,53.0,70.9333333333334
30600,790.0,1.0,0.0227,0.0,0.0,13.0,0.0,0.0,21.0,21.0,0,55.0,-50.0
31200,814.6153846153846,2.0,0.0116,1.0,0.0,13.0,0.0,0.0,21.0,21.0,0,55.0,-21.63461538461536
31800,862.4,0.0,0.0116,0.0,0.0,13.0,0.0,0.0,19.0,19.0,0,51.0,-28.90434782608702
32400,840.0,3.0,0.0116,0.0,0.0,13.0,0.0,0.0,21.0,21.0,0,55.0,-58.888888888888914
33000,836.25,2.0,0.0254,0.0,0.0,13.0,0.0,0.0,21.0,21.0,0,55.0,-114.95000000000005
33600,891.304347826087,3.0,0.0254,0.0,0.0,13.0,0.0,0.0,23.0,23.0,0,59.0,-72.695652173913
34200,898.8888888888889,1.0,0.0254,0.0,0.0,13.0,0.0,0.0,19.0,19.0,0,51.0,-18.03418803418799
34800,951.2,3.0,0.0502,1.0,0.0,13.0,0.0,0.0,17.0,17.0,2,47.0,-77.49565217391296
35400,964.0,3.0,0.0502,0.0,0.0,13.0,0.0,0.0,30.0,30.0,2,73.0,-70.5454545454545
36000,916.9230769230769,5.0,0.0502,0.0,0.0,13.0,0.0,0.0,30.0,30.0,2,73.0,-150.27692307692314
36600,1028.695652173913,1.0,0.0279,0.0,0.0,13.0,0.0,0.0,29.0,29.0,1,71.0,-101.304347826087
37200,1034.5454545454545,2.0,0.0279,1.0,0.0,13.0,0.0,0.0,25.0,25.0,1,63.0,-7.854545454545587
37800,1067.2,0.0,0.0279,0.0,0.0,13.0,0.0,0.0,22.0,22.0,1,57.0,199.80869565217392
38400,1130.0,5.0,0.04,0.0,1.0,72.0,25.0,0.0,25.0,25.0,1.8,147.0,306.9565217391304
39000,1042.4,0.0,0.04,1.0,1.0,75.0,29.0,0.0,26.0,26.0,1.8,156.0,218.23333333333346
39600,867.3913043478261,0.0,0.04,1.0,1.0,74.0,26.0,0.0,24.0,24.0,1.8,148.0,97.39130434782612
40200,823.0434782608696,1.0,0.01,0.0,1.0,69.0,24.0,0.0,24.0,24.0,0.8,141.0,43.04347826086962
